,index,물리학및실험 1,미분적분학,선형대수,확률및랜덤변수,미분방정식,이산구조,디자인적사고,웹/파이선프로그래밍,객체지향프로그래밍,논리회로,컴퓨터구조,자료구조,운영체제,컴퓨터네트워크,소프트웨어공학,알고리즘분석,데이터베이스,오픈소스SW개발,IT기술영어 1,IT기술영어 2,IT기술영어 3,캡스톤디자인 1,캡스톤디자인 2,졸업논문,기계학습,신호와시스템,문제해결,형식언어및컴파일러,파일처리,멀티미디어시스템,시스템분석및설계,프로그래밍언어구조론,SW스타트업비즈니스,SW스타트업프로젝트,최신기술프로젝트 1,최신기술프로젝트 2,최신기술콜로키움 1,최신기술콜로키움 2,단기현장실습,장기현장실습,연구연수활동 1,연구연수활동 2,독립심화학습 1,독립심화학습 2,인공지능,빅데이터프로그래밍,클라우드컴퓨팅,데이터센터프로그래밍,정보보호,모바일프로그래밍,웹서비스프로그래밍,리눅스시스템프로그래밍,IoT디지털시스템,IoT소프트웨어,로봇스프트웨어,영상처리,컴퓨터그래픽스,멀티미디어처리,인간-컴퓨터상호작용,UI/UX프로그래밍,컴퓨터비전,AI네트워킹,IoT네트워크,딥러닝,실전기계학습
17,22,2,1,4,2,2,4,3,1,4,2,3,5,8,4,6,8,5,4,7,6,6,7,8,8,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
18,23,1,1,2,3,3,3,2,1,4,3,4,4,5,5,7,5,8,5,4,5,6,8,9,9,4,0,0,0,0,0,0,0,6,6,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
19,24,1,1,2,3,2,4,2,1,2,5,6,6,8,8,8,7,6,8,4,4,5,9,9,9,4,0,0,0,0,6,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,25,1,1,2,4,3,3,3,1,2,3,5,6,6,4,6,4,8,5,6,6,8,9,8,8,6,8,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0
21,26,2,1,2,2,4,2,2,1,4,3,6,3,4,8,5,4,7,7,8,7,8,7,7,9,6,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0
22,27,1,1,3,1,4,4,3,1,3,5,4,5,8,8,4,6,8,4,5,7,8,8,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0
23,28,2,1,3,4,4,3,3,1,4,3,3,6,6,6,4,7,7,7,5,5,6,9,8,9,5,0,0,0,0,7,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
24,29,2,1,4,1,2,4,2,1,4,2,5,5,7,5,6,5,5,7,5,8,8,9,9,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
25,30,2,1,1,2,2,2,3,1,4,5,3,6,6,4,8,8,7,6,4,7,5,7,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,6,0,0,0,0,0,0,0,4,0
26,31,2,1,2,3,2,3,2,1,2,3,3,3,5,8,6,6,6,5,5,5,5,8,9,9,6,4,0,0,0,0,5,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
27,32,1,1,3,3,4,2,3,1,3,5,4,4,7,7,8,4,6,5,5,8,5,7,8,9,5,0,0,5,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,33,1,1,3,2,4,4,2,1,2,4,6,3,4,5,6,8,6,8,7,4,4,8,9,8,6,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,7
29,35,2,1,4,4,3,4,2,1,4,2,5,3,4,8,8,5,7,4,8,7,7,7,8,8,7,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,0
30,36,2,1,2,1,2,2,2,1,3,2,3,6,6,8,8,4,4,4,7,6,6,9,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,7,0,0,0,0,6,0,4,0,0
31,37,2,1,1,3,2,3,2,1,2,4,4,4,6,7,8,6,5,8,4,6,8,8,9,9,6,0,0,0,0,0,0,0,0,0,7,0,5,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
32,39,2,1,3,1,3,2,2,1,3,5,3,6,7,7,7,6,6,4,7,7,6,9,7,8,4,6,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
33,40,1,1,3,2,4,4,2,1,4,3,6,5,6,6,6,5,8,5,8,7,5,7,9,9,6,0,0,0,0,0,7,8,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,41,1,1,2,3,4,2,2,1,2,5,4,4,6,5,4,5,5,7,4,8,5,9,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,8,0,6,0,0,0,0,0,0,0,0
35,42,2,1,2,3,3,4,3,1,2,3,3,6,7,8,7,7,5,6,7,6,8,9,8,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,4,0,6,0
36,43,2,1,3,4,4,3,2,1,4,3,4,3,7,6,8,6,4,5,8,7,6,8,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,8,0,0,0,0,0,0,0,0,7,6,0
37,44,2,1,3,1,3,3,2,1,2,4,3,5,5,7,8,4,7,5,6,4,8,7,7,8,7,0,0,0,0,7,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0
38,45,1,1,2,1,3,4,2,1,3,2,4,3,6,5,6,5,6,4,6,8,8,7,7,8,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,4,0,0,0,0,0,0,0
39,46,1,1,2,4,2,3,3,1,4,4,5,3,8,8,4,5,8,4,6,7,7,9,7,9,7,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
40,47,2,1,2,3,3,2,3,1,4,2,6,4,5,7,8,7,4,7,5,8,5,7,9,9,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0
41,48,1,1,3,1,2,2,3,1,4,3,6,5,6,5,8,6,8,8,6,8,5,7,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,5,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
42,49,2,1,4,2,3,3,3,1,3,2,4,3,4,7,8,4,5,8,7,5,8,9,8,8,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0
43,51,1,1,4,2,3,4,2,1,3,5,6,6,7,5,6,8,6,4,5,8,8,9,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,7,0,0,0,0,4,0,0,0
44,53,2,1,2,4,4,3,3,1,2,3,5,3,5,8,4,8,7,7,6,7,4,7,7,9,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,4,6,0,0,0
45,55,2,1,2,2,2,4,2,1,2,5,6,3,6,6,6,7,5,8,4,8,6,7,8,8,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,6,0,0,0,0
46,56,2,1,3,1,4,2,2,1,2,5,4,3,6,5,7,6,8,7,6,5,4,8,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,4,7
47,57,1,1,2,1,2,3,3,1,2,5,3,4,6,4,6,4,4,8,7,7,4,7,8,8,7,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0
48,58,2,1,3,1,3,3,2,1,4,2,5,5,8,5,7,6,4,5,8,8,8,7,7,9,5,0,7,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0
49,59,2,1,1,1,3,4,2,1,2,4,3,5,4,5,8,7,8,6,5,4,8,7,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,8,8,0,0,0,0,5,0,0,0,0
50,60,1,1,2,3,2,2,2,1,3,2,4,6,4,5,8,4,7,8,7,8,7,7,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,4,0,0,0,0,0,0,4
51,61,1,1,2,3,3,2,3,1,4,2,6,4,8,7,5,4,7,5,8,7,8,8,7,8,5,0,0,0,0,0,0,6,0,0,0,6,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
52,62,2,1,1,4,4,4,3,1,3,2,5,6,6,5,8,4,5,6,5,6,8,8,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,4,0,0,0,0,6,0,5,0,0,0,0
53,63,1,1,2,3,4,4,2,1,2,2,4,3,5,7,4,5,7,6,8,5,4,9,9,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,64,1,1,4,3,3,4,2,1,2,2,6,4,7,8,4,4,6,4,5,7,6,9,9,9,5,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0
55,65,1,1,1,3,3,2,3,1,4,5,6,3,4,6,5,5,4,5,4,5,8,9,9,8,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0
56,66,1,1,3,3,2,2,2,1,3,3,3,5,7,8,5,7,6,4,7,5,8,7,7,9,5,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,7,0,0,0,0,0,0
57,68,2,1,4,3,3,4,2,1,4,2,6,4,4,7,7,5,7,5,7,6,8,8,7,8,6,0,0,0,7,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,69,1,1,2,1,4,4,2,1,4,5,4,3,6,7,4,6,5,7,5,4,6,8,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,70,2,1,1,1,4,2,2,1,4,3,4,6,8,6,8,7,6,5,5,8,5,8,9,9,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0
60,71,1,1,1,2,2,4,2,1,3,4,4,3,8,6,6,5,6,4,7,8,6,9,8,8,6,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
61,72,1,1,4,2,2,3,2,1,2,5,5,4,8,7,6,8,7,8,4,8,7,7,9,9,6,0,6,0,5,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
62,73,2,1,2,2,2,4,2,1,3,5,5,5,6,8,8,5,8,5,5,4,8,7,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,4,0,6,6,0,0,0,0,0,0,0,0
63,76,1,1,2,4,2,3,2,1,2,3,3,6,7,5,7,5,5,7,8,4,4,7,9,8,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0
64,77,1,1,4,1,2,4,2,1,3,4,3,5,4,5,6,7,5,5,8,8,5,9,9,8,7,0,0,0,0,0,0,0,0,0,8,0,0,4,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
65,78,1,1,4,1,3,3,3,1,4,2,5,4,6,4,5,5,4,5,8,4,8,9,9,8,5,0,0,0,0,0,0,0,6,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
66,79,1,1,2,1,2,4,2,1,2,2,5,4,6,8,6,7,6,8,6,7,5,7,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
67,80,1,1,2,4,2,3,3,1,3,3,3,5,4,6,5,5,8,7,7,6,6,9,7,9,5,0,0,0,0,0,8,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0
68,81,2,1,1,2,3,2,2,1,2,2,4,3,7,4,4,6,6,6,5,7,8,8,7,8,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,0,0,0,6,0,0,0,0,0,0
69,82,2,1,1,3,4,3,2,1,3,5,5,5,6,8,5,6,5,8,4,6,6,9,9,8,4,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
70,83,1,1,1,3,2,3,3,1,3,5,6,5,6,7,8,5,4,6,8,7,8,8,7,9,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0
71,84,2,1,2,2,3,4,2,1,3,2,3,6,8,6,5,5,6,8,8,5,8,7,8,9,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0
72,85,1,1,2,4,4,3,3,1,3,5,6,4,8,6,8,5,6,4,6,4,7,9,9,8,4,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0
73,87,2,1,3,2,2,3,3,1,2,5,5,4,7,4,6,7,8,7,7,7,8,9,8,8,7,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0
74,88,1,1,4,3,4,3,2,1,4,5,3,3,8,6,8,4,7,6,7,4,6,9,8,9,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
75,89,2,1,4,3,4,3,3,1,4,5,6,3,7,7,6,5,7,6,6,6,6,7,7,9,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0
76,90,1,1,2,3,2,3,3,1,3,3,6,5,5,6,7,6,4,8,5,7,6,7,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,8
77,91,2,1,4,4,3,2,2,1,2,3,3,3,5,7,8,8,6,7,4,7,7,8,8,9,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,0,0,0,0
78,92,1,1,2,4,4,4,3,1,4,4,5,6,8,8,7,5,6,4,6,5,6,8,8,8,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,6,0,0
79,93,1,1,2,3,2,4,3,1,4,5,4,3,5,4,6,7,7,4,6,5,6,9,9,9,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0
80,95,1,1,1,1,2,2,2,1,2,2,5,3,4,5,6,5,6,7,8,5,4,7,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0
81,96,1,1,2,2,2,4,3,1,3,4,5,3,7,7,4,4,5,6,4,4,7,8,8,9,5,0,0,0,6,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0
82,97,2,1,2,4,4,2,3,1,3,3,5,5,8,5,5,8,7,4,7,5,7,7,9,9,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
83,98,2,1,3,3,4,2,3,1,4,4,5,5,7,6,5,8,8,4,5,4,6,9,8,8,4,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0
84,100,1,1,3,4,2,3,2,1,3,3,6,6,6,7,7,5,4,5,7,7,5,7,9,8,4,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,6,0,0,0
85,102,1,1,2,4,2,3,2,1,4,3,3,5,5,8,8,6,7,4,6,5,8,7,8,9,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0
86,103,1,1,2,2,4,2,2,1,2,3,5,4,8,5,5,6,7,5,7,8,7,7,9,9,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,8,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,104,2,1,1,1,4,2,3,1,3,3,5,6,4,8,5,5,7,8,4,5,7,7,9,9,4,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,4,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
88,105,1,1,1,4,2,2,3,1,4,2,5,5,8,8,5,5,6,8,7,7,8,8,7,8,4,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,5,0,0
89,106,1,1,1,4,4,2,3,1,3,2,4,4,7,6,6,6,4,7,7,5,4,7,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,6,0,0,8,0,0,0,0,0
90,107,1,1,4,4,2,4,2,1,2,2,3,4,5,8,5,4,6,6,5,8,7,9,7,8,5,5,0,5,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
91,108,1,1,4,2,3,3,2,1,3,2,3,3,5,4,7,7,8,6,6,7,4,7,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,7,0,8,0,0,0
92,109,2,1,2,3,2,4,2,1,4,5,5,5,8,4,8,7,6,6,5,8,6,9,9,9,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,6,4,0,0,0,0,0
93,110,1,1,3,1,2,3,2,1,3,5,3,6,7,7,6,5,7,6,4,6,6,8,8,9,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
94,113,1,1,2,3,3,2,2,1,2,2,6,5,7,8,8,7,8,6,4,8,6,9,9,9,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,7,5,0,0,0,0,0,0,0,0
